evaluation_id,ticket_id,agent_id,qa_score,defect_category,critical_error,passed_qa
QA0081,TKT0169,AG025,87,Communication,False,True
QA0082,TKT0045,AG023,95,None,False,True
QA0083,TKT0384,AG020,85,Incomplete Resolution,False,True
QA0084,TKT0107,AG044,98,None,False,True
QA0085,TKT0340,AG005,88,Communication,False,True
QA0086,TKT0495,AG003,97,None,False,True
QA0087,TKT0417,AG009,89,Incomplete Resolution,False,True
QA0088,TKT0293,AG026,88,Incomplete Resolution,False,True
QA0089,TKT0403,AG030,84,Incomplete Resolution,False,True
QA0090,TKT0171,AG032,91,None,False,True
QA0091,TKT0354,AG046,59,Incorrect Information,True,False
QA0092,TKT0462,AG045,82,Incorrect Information,False,True
QA0093,TKT0203,AG007,94,Communication,False,True
QA0094,TKT0034,AG016,87,Communication,False,True
QA0095,TKT0145,AG007,55,Incomplete Resolution,False,False
QA0096,TKT0477,AG009,81,Documentation,False,True
QA0097,TKT0196,AG047,72,Incomplete Resolution,False,False
QA0098,TKT0255,AG038,71,Documentation,False,False
QA0099,TKT0170,AG004,99,Incomplete Resolution,False,True
QA0100,TKT0041,AG033,89,Process Compliance,False,True
QA0101,TKT0130,AG017,99,None,False,True
QA0102,TKT0360,AG019,93,None,False,True
QA0103,TKT0454,AG012,99,None,False,True
QA0104,TKT0369,AG037,73,Documentation,False,False
QA0105,TKT0316,AG042,83,Incorrect Information,False,True
QA0106,TKT0252,AG022,94,None,False,True
QA0107,TKT0291,AG047,84,Incomplete Resolution,False,True
QA0108,TKT0092,AG021,84,Process Compliance,False,True
QA0109,TKT0488,AG009,80,Process Compliance,False,True
QA0110,TKT0491,AG020,68,Incomplete Resolution,False,False
QA0111,TKT0159,AG039,64,Incorrect Information,False,False
QA0112,TKT0342,AG011,96,None,False,True
QA0113,TKT0167,AG002,100,None,False,True
QA0114,TKT0269,AG035,86,Incomplete Resolution,False,True
QA0115,TKT0254,AG046,71,Process Compliance,False,False
QA0116,TKT0415,AG050,100,None,False,True
QA0117,TKT0379,AG020,99,None,False,True
QA0118,TKT0089,AG045,94,None,False,True
QA0119,TKT0324,AG050,93,None,False,True
QA0120,TKT0313,AG035,81,Incorrect Information,False,True
QA0121,TKT0059,AG044,97,None,False,True
QA0122,TKT0030,AG025,97,None,False,True
QA0123,TKT0073,AG022,99,None,False,True
QA0124,TKT0098,AG020,78,Incomplete Resolution,False,False
QA0125,TKT0450,AG037,79,Communication,False,False
QA0126,TKT0460,AG040,87,Documentation,False,True
QA0127,TKT0039,AG036,56,Incorrect Information,False,False
QA0128,TKT0242,AG036,86,Communication,False,True
QA0129,TKT0240,AG005,96,Communication,False,True
QA0130,TKT0296,AG041,81,Communication,False,True
QA0131,TKT0161,AG007,90,None,False,True
QA0132,TKT0006,AG005,85,Incomplete Resolution,False,True
QA0133,TKT0075,AG025,88,Communication,False,True
QA0134,TKT0391,AG020,98,None,False,True
QA0135,TKT0447,AG013,63,Process Compliance,False,False
QA0136,TKT0499,AG008,70,Incomplete Resolution,False,False
QA0137,TKT0419,AG018,95,None,False,True
QA0138,TKT0274,AG037,100,Incorrect Information,False,True
QA0139,TKT0100,AG037,99,None,False,True
QA0140,TKT0398,AG016,74,Communication,False,False
QA0141,TKT0002,AG002,94,None,False,True
QA0142,TKT0380,AG005,84,Incomplete Resolution,False,True
QA0143,TKT0112,AG043,93,None,False,True
QA0144,TKT0162,AG006,50,Communication,True,False
QA0145,TKT0289,AG047,79,Incomplete Resolution,False,False
QA0146,TKT0033,AG006,89,Documentation,False,True
QA0147,TKT0459,AG017,94,None,False,True
QA0148,TKT0193,AG014,52,Incomplete Resolution,False,False
QA0149,TKT0096,AG037,72,Incomplete Resolution,False,False
QA0150,TKT0265,AG014,98,Process Compliance,False,True
QA0151,TKT0199,AG013,84,Process Compliance,False,True
QA0152,TKT0315,AG006,92,None,False,True
QA0153,TKT0188,AG044,84,Incomplete Resolution,False,True
QA0154,TKT0064,AG036,86,Communication,False,True
QA0155,TKT0050,AG026,60,Incorrect Information,False,False
QA0156,TKT0117,AG031,100,None,False,True
QA0157,TKT0335,AG020,90,Incorrect Information,False,True
QA0158,TKT0053,AG039,86,Documentation,False,True
QA0159,TKT0468,AG038,89,Communication,False,True
QA0160,TKT0245,AG032,86,Incorrect Information,False,True
QA0161,TKT0383,AG016,97,None,False,True
QA0162,TKT0359,AG044,98,Communication,False,True
QA0163,TKT0430,AG031,69,Process Compliance,False,False
QA0164,TKT0001,AG007,93,None,False,True
QA0165,TKT0186,AG007,93,None,False,True
QA0166,TKT0102,AG019,54,Documentation,True,False
QA0167,TKT0385,AG032,92,None,False,True
QA0168,TKT0005,AG006,93,None,False,True
QA0169,TKT0377,AG038,88,Incomplete Resolution,False,True
QA0170,TKT0113,AG049,89,Documentation,False,True
QA0171,TKT0276,AG029,88,Process Compliance,False,True
QA0172,TKT0262,AG050,87,Communication,False,True
QA0173,TKT0256,AG050,81,Process Compliance,False,True
QA0174,TKT0424,AG034,84,Incomplete Resolution,False,True
QA0175,TKT0078,AG037,89,Documentation,False,True
QA0176,TKT0018,AG035,81,Incorrect Information,False,True
QA0177,TKT0275,AG026,96,None,False,True
QA0178,TKT0178,AG016,96,None,False,True
QA0179,TKT0025,AG031,71,Process Compliance,False,False
QA0180,TKT0026,AG044,81,Documentation,False,True
QA0181,TKT0230,AG024,98,Incorrect Information,False,True
QA0182,TKT0155,AG040,96,None,False,True
QA0183,TKT0258,AG010,98,None,False,True
QA0184,TKT0022,AG034,85,Communication,False,True
QA0185,TKT0434,AG036,98,Incomplete Resolution,False,True
QA0186,TKT0329,AG006,80,Incomplete Resolution,False,True
QA0187,TKT0241,AG046,70,Documentation,False,False
QA0188,TKT0337,AG013,86,Process Compliance,False,True
QA0189,TKT0260,AG012,91,None,False,True
QA0190,TKT0206,AG004,84,Process Compliance,False,True
QA0191,TKT0150,AG009,82,Incomplete Resolution,False,True
QA0192,TKT0496,AG042,97,None,False,True
QA0193,TKT0054,AG034,98,None,False,True
QA0194,TKT0085,AG038,99,None,False,True
QA0195,TKT0294,AG015,99,None,False,True
QA0196,TKT0304,AG025,92,None,False,True
QA0197,TKT0364,AG014,82,Incorrect Information,False,True
QA0198,TKT0069,AG005,98,None,False,True
QA0199,TKT0334,AG022,77,Documentation,False,False
QA0200,TKT0422,AG031,96,None,False,True
QA0201,TKT0397,AG017,79,Incomplete Resolution,False,False
QA0202,TKT0435,AG009,91,None,False,True
QA0203,TKT0405,AG022,91,None,False,True
QA0204,TKT0223,AG039,88,Incomplete Resolution,False,True
QA0205,TKT0444,AG011,95,None,False,True
QA0206,TKT0124,AG031,55,Communication,False,False
QA0207,TKT0209,AG005,89,Documentation,False,True
QA0208,TKT0378,AG045,95,None,False,True
QA0209,TKT0300,AG029,94,None,False,True
QA0210,TKT0350,AG012,97,None,False,True
QA0211,TKT0165,AG031,81,Communication,False,True
QA0212,TKT0143,AG002,64,Documentation,False,False
QA0213,TKT0036,AG030,95,None,False,True
QA0214,TKT0423,AG021,85,Process Compliance,False,True
QA0215,TKT0326,AG046,87,Incorrect Information,False,True
QA0216,TKT0479,AG043,95,None,False,True
QA0217,TKT0106,AG006,99,None,False,True
QA0218,TKT0332,AG011,74,Incomplete Resolution,False,False
QA0219,TKT0325,AG025,91,None,False,True
QA0220,TKT0174,AG001,86,Process Compliance,False,True
QA0221,TKT0330,AG025,76,Documentation,False,False
QA0222,TKT0219,AG029,91,None,False,True
QA0223,TKT0355,AG012,93,None,False,True
QA0224,TKT0318,AG034,71,Documentation,False,False
QA0225,TKT0023,AG001,85,Incorrect Information,False,True
QA0226,TKT0414,AG029,82,Process Compliance,False,True
QA0227,TKT0476,AG034,85,Communication,False,True
QA0228,TKT0216,AG024,59,Communication,False,False
QA0229,TKT0458,AG038,85,Incomplete Resolution,False,True
QA0230,TKT0009,AG041,63,Incorrect Information,False,False
QA0231,TKT0104,AG018,70,Documentation,False,False
QA0232,TKT0212,AG003,91,None,False,True
QA0233,TKT0164,AG047,97,Incomplete Resolution,False,True
QA0234,TKT0077,AG049,97,None,False,True
QA0235,TKT0358,AG001,93,None,False,True
QA0236,TKT0338,AG029,91,Incomplete Resolution,False,True
QA0237,TKT0246,AG004,82,Process Compliance,False,True
QA0238,TKT0295,AG043,84,Documentation,False,True
